iter	Passed	Remaining
0	142	142692
1	143	71698
2	144	47968
3	145	36112
4	145	28997
5	146	24257
6	147	20866
7	147	18330
8	148	16348
9	149	14759
10	149	13466
11	150	12387
12	151	11474
13	151	10690
14	152	10009
15	153	9412
16	153	8885
17	154	8419
18	154	8000
19	155	7636
20	156	7298
21	157	6988
22	157	6705
23	158	6444
24	159	6212
25	159	5990
26	160	5785
27	161	5594
28	162	5426
29	162	5260
30	163	5106
31	163	4960
32	164	4824
33	165	4696
34	166	4577
35	166	4463
36	167	4369
37	168	4267
38	169	4171
39	169	4079
40	170	3991
41	171	3908
42	172	3828
43	172	3752
44	173	3685
45	174	3616
46	175	3548
47	175	3484
48	176	3423
49	177	3364
50	177	3306
51	178	3252
52	179	3202
53	179	3153
54	180	3104
55	181	3057
56	182	3012
57	182	2969
58	183	2927
59	184	2886
60	185	2852
61	186	2815
62	186	2778
63	187	2743
64	188	2709
65	189	2676
66	189	2644
67	190	2612
68	191	2583
69	192	2555
70	193	2525
71	193	2496
72	194	2467
73	194	2439
74	195	2411
75	196	2384
76	196	2358
77	197	2333
78	198	2309
79	198	2286
80	199	2262
81	200	2239
82	200	2214
83	201	2192
84	201	2171
85	202	2150
86	203	2130
87	203	2110
88	204	2091
89	204	2072
90	205	2053
91	206	2035
92	206	2017
93	207	1999
94	208	1983
95	208	1966
96	209	1950
97	210	1934
98	210	1918
99	211	1902
100	212	1887
101	212	1871
102	213	1857
103	213	1842
104	214	1828
105	215	1814
106	215	1801
107	216	1787
108	217	1776
109	218	1764
110	218	1751
111	219	1739
112	219	1726
113	220	1714
114	221	1702
115	221	1690
116	222	1678
117	223	1667
118	223	1657
119	224	1645
120	225	1634
121	225	1625
122	227	1623
123	228	1613
124	229	1603
125	229	1593
126	230	1584
127	231	1576
128	233	1574
129	234	1568
130	234	1558
131	235	1550
132	236	1542
133	237	1534
134	238	1526
135	239	1519
136	239	1510
137	240	1501
138	241	1493
139	241	1484
140	242	1477
141	242	1467
142	243	1460
143	244	1452
144	244	1444
145	245	1436
146	246	1428
147	246	1421
148	247	1414
149	248	1407
150	248	1399
151	249	1392
152	250	1384
153	250	1377
154	251	1369
155	251	1362
156	252	1355
157	253	1348
158	253	1342
159	254	1335
160	254	1327
161	255	1320
162	255	1313
163	256	1307
164	257	1300
165	257	1294
166	258	1287
167	258	1281
168	259	1274
169	259	1269
170	260	1262
171	261	1256
172	261	1250
173	262	1244
174	262	1238
175	263	1232
176	263	1226
177	264	1221
178	265	1215
179	265	1209
180	266	1204
181	266	1199
182	267	1194
183	268	1188
184	268	1183
185	269	1177
186	269	1172
187	270	1167
188	270	1161
189	271	1157
190	272	1152
191	272	1147
192	273	1142
193	273	1137
194	274	1132
195	274	1127
196	275	1123
197	276	1118
198	276	1113
199	277	1108
200	277	1104
201	278	1099
202	279	1095
203	279	1090
204	280	1086
205	280	1082
206	281	1078
207	282	1074
208	282	1070
209	283	1066
210	284	1062
211	284	1058
212	285	1054
213	285	1050
214	286	1045
215	287	1041
216	287	1037
217	288	1033
218	288	1029
219	289	1025
220	289	1021
221	290	1017
222	290	1013
223	291	1010
224	292	1006
225	292	1002
226	293	998
227	293	994
228	294	991
229	295	987
230	295	984
231	296	980
232	297	977
233	297	974
234	298	971
235	298	967
236	299	964
237	300	960
238	300	957
239	301	954
240	301	950
241	302	947
242	303	945
243	304	942
244	304	938
245	305	935
246	305	932
247	306	929
248	307	926
249	307	923
250	308	920
251	309	917
252	309	914
253	310	911
254	310	908
255	311	905
256	312	902
257	312	899
258	313	896
259	314	893
260	314	890
261	315	887
262	315	885
263	316	882
264	317	879
265	317	876
266	318	873
267	318	870
268	319	868
269	320	865
270	320	862
271	321	859
272	322	858
273	322	855
274	323	852
275	324	850
276	324	848
277	325	845
278	326	842
279	326	840
280	327	837
281	327	834
282	328	832
283	329	829
284	329	827
285	330	824
286	330	821
287	331	819
288	331	816
289	332	814
290	333	811
291	333	809
292	334	806
293	334	804
294	335	801
295	336	799
296	336	796
297	337	794
298	337	791
299	338	789
300	338	786
301	339	784
302	340	782
303	340	779
304	341	777
305	341	775
